diagram_id,vertex_id,input_type,input_phase,input_degree,n_runs,presence_count,presence_rate,ambiguity_score,is_ambiguous
toy_larger_clifford_heavy,0,B,0,1,30,30,1.0,0.0,False
toy_larger_clifford_heavy,1,B,0,1,30,30,1.0,0.0,False
toy_larger_clifford_heavy,2,B,0,1,30,30,1.0,0.0,False
toy_larger_clifford_heavy,3,B,0,1,30,30,1.0,0.0,False
toy_larger_clifford_heavy,4,B,0,1,30,30,1.0,0.0,False
toy_larger_clifford_heavy,5,Z,1/4,2,30,20,0.6667,0.8889,True
toy_larger_clifford_heavy,6,Z,1/4,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,7,Z,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,8,Z,1/4,2,30,13,0.4333,0.9822,True
toy_larger_clifford_heavy,9,X,0,3,30,14,0.4667,0.9956,True
toy_larger_clifford_heavy,10,Z,0,3,30,4,0.1333,0.4622,True
toy_larger_clifford_heavy,11,X,1/2,2,30,27,0.9,0.36,True
toy_larger_clifford_heavy,12,X,0,3,30,8,0.2667,0.7822,True
toy_larger_clifford_heavy,13,Z,0,3,30,7,0.2333,0.7156,True
toy_larger_clifford_heavy,14,Z,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,15,Z,1/4,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,16,X,0,3,30,1,0.0333,0.1289,False
toy_larger_clifford_heavy,17,Z,0,3,30,4,0.1333,0.4622,True
toy_larger_clifford_heavy,18,X,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,19,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,20,X,0,3,30,5,0.1667,0.5556,True
toy_larger_clifford_heavy,21,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,22,Z,1/4,2,30,8,0.2667,0.7822,True
toy_larger_clifford_heavy,23,X,0,3,30,8,0.2667,0.7822,True
toy_larger_clifford_heavy,24,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,25,X,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,26,X,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,27,Z,0,3,30,4,0.1333,0.4622,True
toy_larger_clifford_heavy,28,X,0,3,30,2,0.0667,0.2489,False
toy_larger_clifford_heavy,29,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,30,X,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,31,Z,0,3,30,16,0.5333,0.9956,True
toy_larger_clifford_heavy,32,Z,1/4,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,33,Z,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,34,X,0,3,30,1,0.0333,0.1289,False
toy_larger_clifford_heavy,35,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,36,Z,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,37,X,1/2,2,30,3,0.1,0.36,True
toy_larger_clifford_heavy,38,X,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,39,Z,1/4,2,30,3,0.1,0.36,True
toy_larger_clifford_heavy,40,X,0,3,30,2,0.0667,0.2489,False
toy_larger_clifford_heavy,41,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,42,X,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,43,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,44,X,0,3,30,6,0.2,0.64,True
toy_larger_clifford_heavy,45,Z,0,3,30,10,0.3333,0.8889,True
toy_larger_clifford_heavy,46,X,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,47,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,48,Z,1/4,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,49,Z,1/2,2,30,6,0.2,0.64,True
toy_larger_clifford_heavy,50,Z,1/4,2,30,3,0.1,0.36,True
toy_larger_clifford_heavy,51,Z,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,52,Z,1/4,2,30,6,0.2,0.64,True
toy_larger_clifford_heavy,53,X,0,3,30,3,0.1,0.36,True
toy_larger_clifford_heavy,54,Z,0,3,30,0,0.0,0.0,False
toy_larger_clifford_heavy,55,X,1/2,2,30,5,0.1667,0.5556,True
toy_larger_clifford_heavy,56,Z,1/2,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,57,Z,1/4,2,30,0,0.0,0.0,False
toy_larger_clifford_heavy,58,X,1/2,2,30,0,0.0,0.0,False
